State,Date,Presidential_Choice_Trump,Presidential_Choice_Harris,Joe_Biden_Approval_Disapprove,Joe_Biden_Approval_Approve,Safety_Concerns_More_Safe,Safety_Concerns_Less_Safe,Economic_Situation_Better,Economic_Situation_Worse,Past_Voting_Behavior_Biden,Past_Voting_Behavior_Trump,Ethnicity_Hispanic,Ethnicity_White
California,2024-01-15,44.64019657593004,55.35980342406996,50.4101669986858,49.5898330013142,39.076226843270085,60.923773156729915,40.03608810558568,59.96391189441432,52.6317811100514,47.3682188899486,14.571072227750083,59.678324986878025
Texas,2024-01-15,44.95935247489975,55.04064752510025,51.24609309337181,48.75390690662819,39.7187572274144,60.2812427725856,38.98897937407338,61.01102062592662,51.73348449805645,48.26651550194355,14.638349754448583,60.03042744554938
Florida,2024-01-15,43.21783772568181,56.78216227431819,48.89622232340369,51.10377767659631,40.65100053955327,59.34899946044673,40.42159141846422,59.57840858153578,50.54014452206598,49.45985547793402,15.316757458597577,59.54411782382806
New York,2024-01-15,43.877577183398316,56.122422816601684,50.13645174806347,49.86354825193653,38.92445940273891,61.07554059726109,41.174863154907186,58.825136845092814,50.70856258550042,49.29143741449958,14.982670026131041,60.0825859040215
Pennsylvania,2024-01-15,43.99721599738172,56.00278400261828,50.44742419239588,49.55257580760412,39.97748838321135,60.02251161678865,38.2106852444894,61.7893147555106,51.96283184819599,48.03716815180401,15.001865357272736,60.369729375268896
Illinois,2024-01-15,46.77670432531586,53.22329567468414,47.78343449493397,52.21656550506603,39.85095714793335,60.14904285206665,40.04509125989115,59.95490874010885,52.73930854996526,47.26069145003474,15.07766101235866,60.42842852969664
Ohio,2024-01-15,43.611741750697064,56.388258249302936,49.415752073652065,50.584247926347935,39.78146517801622,60.21853482198378,38.819508648418164,61.180491351581836,52.02305937378751,47.97694062621249,14.979197277874261,60.8271417089634
Georgia,2024-01-15,44.5025050583637,55.4974949416363,48.94555033583317,51.05444966416683,39.752043207017174,60.247956792982826,41.09244932663673,58.90755067336327,52.07173453972882,47.92826546027118,14.960486296489929,59.48026738077858
North Carolina,2024-01-15,44.44201041101937,55.55798958898063,51.25978573220082,48.74021426779918,40.10948719062295,59.89051280937705,40.72766051386197,59.27233948613803,50.88421755069599,49.11578244930401,14.82752105776137,60.68385519265702
Michigan,2024-01-15,44.17561755365984,55.82438244634016,49.91527881211419,50.08472118788581,40.153267259863384,59.846732740136616,40.753302969327606,59.246697030672394,52.25832889714904,47.74167110285096,15.341219767944377,60.24147057659266
California,2024-05-15,51.668778184385225,48.331221815614775,54.1421094958877,45.8578905041123,37.591614994461196,62.408385005538804,34.62707776648056,65.37292223351943,52.31617651430781,47.68382348569219,14.871068548929896,59.82874764569041
Texas,2024-05-15,49.318035140271945,50.681964859728055,54.39975098606142,45.60024901393858,34.23665518166628,65.76334481833372,35.84209580565539,64.15790419434461,51.37382635066002,48.62617364933998,15.451559986152578,60.39367720973276
Florida,2024-05-15,50.06519751240337,49.93480248759663,55.72348223971532,44.27651776028468,36.34436185413381,63.65563814586619,35.4317257309276,64.56827426907239,52.85355925911641,47.14644074088359,15.310636330918237,60.53503581021631
New York,2024-05-15,49.740140889805744,50.259859110194256,55.21780369335223,44.78219630664777,34.62329711358446,65.37670288641554,34.72613012557524,65.27386987442476,50.86861510698318,49.13138489301682,14.594512273588714,60.129663493031366
Pennsylvania,2024-05-15,50.329007964491275,49.670992035508725,55.61074883823809,44.38925116176191,33.619037424959124,66.38096257504088,34.51055729952169,65.4894427004783,52.32976075026489,47.67023924973511,15.245619267689527,60.65257593120622
Illinois,2024-05-15,49.56303431879491,50.43696568120509,54.88461938593944,45.11538061406056,34.34310514746516,65.65689485253483,35.06478015724015,64.93521984275985,52.46374137959156,47.53625862040844,15.412831034422,59.203911584452264
Ohio,2024-05-15,49.677111085227104,50.322888914772896,54.96365364300622,45.03634635699378,35.17402255144837,64.82597744855164,35.73920029394658,64.26079970605342,52.33205261974368,47.66794738025632,15.138576509066146,59.61413186938546
Georgia,2024-05-15,50.11455482842473,49.88544517157527,53.140013630788665,46.859986369211335,36.128027761947656,63.871972238052344,35.61065905537053,64.38934094462947,52.90508594471915,47.09491405528085,15.173011125837913,60.13946921550654
North Carolina,2024-05-15,50.842392055196584,49.157607944803416,54.154731257834705,45.845268742165295,34.93116742411293,65.06883257588707,35.21676529392355,64.78323470607646,51.52589719635323,48.47410280364677,14.626680104780077,59.66445202553543
Michigan,2024-05-15,50.34248268011736,49.65751731988264,56.33071722962545,43.66928277037455,35.623422480557416,64.37657751944258,33.83691182809858,66.16308817190142,52.083665574972386,47.916334425027614,14.057469423130154,60.50815291263872
California,2024-09-15,55.011434888519524,44.988565111480476,59.05288232860052,40.94711767139948,30.70466496763831,69.29533503236169,29.663921292932397,70.3360787070676,51.15857486554344,48.84142513445656,15.186134313218641,59.78405587092788
Texas,2024-09-15,53.608647723368804,46.391352276631196,59.634967923720986,40.365032076279014,29.137086756975926,70.86291324302408,27.496089682640754,72.50391031735924,51.904723901988966,48.095276098011034,14.191207118670008,59.72617503960804
