state,"Although you are undecided, which candidate do you lean toward? Donald Trump",Can you please tell me your gender? Female,Can you please tell me your gender? Male,Can you please tell me your gender? Nonbinary or other,Do you approve or disapprove of the job Joe Biden is doing as President? Approve,Do you approve or disapprove of the job Joe Biden is doing as President? Disapprove,Do you approve or disapprove of the job Joe Biden is doing as President? Neutral or no opinion,"For statistical purposes only, can you please tell me your ethnicity? Asian","For statistical purposes only, can you please tell me your ethnicity? Black or African American","For statistical purposes only, can you please tell me your ethnicity? Hispanic or Latino of any race","For statistical purposes only, can you please tell me your ethnicity? Other or multiple races","For statistical purposes only, can you please tell me your ethnicity? White or Caucasian","How likely are you to vote in the November, 2024 Presidential election? Very likely",In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Donald Trump,In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Joe Biden,In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Undecided,"In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Cornel West","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Donald Trump","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Jill Stein","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Joe Biden","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Robert Kennedy","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Undecided",Mode Landline,Mode Mobile,Mode Online panel,What is the highest level of education you have attained? Associate Degree/some college,What is the highest level of education you have attained? College graduate,What is the highest level of education you have attained? High school or less,What is the highest level of education you have attained? Postgraduate or higher,What is the highest level of education you have attained? Vocational/technical school,What is your age range? 18-29 years,What is your age range? 30-39 years,What is your age range? 40-49 years,What is your age range? 50-59 years,What is your age range? 60-69 years,What is your age range? 70 or more years,What is your party registration? Democrat,What is your party registration? Independent/other,What is your party registration? Republican,Who did you vote for in the 2020 election? Did not vote,Who did you vote for in the 2020 election? Donald Trump,Who did you vote for in the 2020 election? Joe Biden,Who did you vote for in the 2020 election? Someone else
National,37.3,51.1,47.2,1.7,42.1,47.3,10.6,4.4,13.4,14.5,2.8,64.8,83,44.7,44.1,11.2,1.4,40.2,1.3,37.9,6.7,12.5,43.1,14.670438066139832,60.2,26.7,23.6,26.3,14.4,9,16,16,16,17,19,16,36.7,28.2,35.1,11.1,40.9,45.3,2.7
Arizona,51.8,51.8,46.4,1.8,36.6,56,7.5,1.5,12,4.5,1.8,80.2,84.9,45.1,42.9,12,1.6,41.5,0.9,36.8,7.6,11.6,21.6,5.5,45,25.1,22.1,24.3,18.3,10.3,12.9,15.8,12.9,20.8,19.8,17.8,40.2,18.4,41.3,6.7,45.2,46,2.1
North Carolina,51.8,51.8,46.4,1.8,36.6,56,7.5,1.5,12,4.5,1.8,80.2,84.9,45.1,42.9,12,1.6,41.5,0.9,36.8,7.6,11.6,21.6,5.5,45,25.1,22.1,24.3,18.3,10.3,12.9,15.8,12.9,20.8,19.8,17.8,40.2,18.4,41.3,6.7,45.2,46,2.1
Pennsylvania,50.3,53.7,44.6,1.7,38.8,50.4,10.8,1.7,28.9,7.1,1.4,60.9,84.9,47.9,41.6,10.5,1.4,45,0.7,36.2,5.9,10.9,28.5,5.5,41,29.3,25.8,21.8,14.2,8.9,20.1,16.8,17.8,17.8,14.8,12.8,30,35.8,34.2,7.4,44.9,45.3,2.4
New York,50.3,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,84.9,46,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13,35.2,7.6,50.29752828992888,32.8,20.8,24,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32,39,29,11,42.3,44.7,2
Texas,51.8,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,84.9,46,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13,35.2,7.6,31.486374894671343,32.8,20.8,24,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32,39,29,11,42.3,44.7,2
Virginia,51.3,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,84.9,46,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13,35.2,7.6,31.486374894671343,32.8,20.8,24,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32,39,29,11,42.3,44.7,2
Georgia,51.8,49.8,49.5,0.7,37.5,53.3,9.2,1.3,6.7,4,1.5,86.5,84.9,46,43.3,10.7,0.6,43.4,1,39.6,5.9,9.6,41.4022468431691,23.1818676118133,41,31,23.8,24.1,11.7,9.3,13.1,14.1,14.1,21.2,20.2,17.2,33.1,30.5,36.4,7.9,44.3,44.5,3.2
Michigan,52.6,53,46.2,0.8,35,56.8,8.3,4.2,28.7,4.3,2.5,60.3,88.1,32,54.6,13.4,1.2,31.4,1.4,46.6,5.9,13.5,56.4,38.4,41,21.8,27.2,22.6,22.1,6.3,11.3,17.2,16.9,19.9,19.9,14.9,54.3,21.1,24.6,13,26.8,57.9,2.3
Nevada,52.6,53,46.2,0.8,49.7,40.6,9.7,4.2,28.7,4.3,2.5,60.3,88.1,32,54.6,13.4,1.2,31.4,1.4,46.6,5.9,13.5,56.4,38.4,41,21.8,27.2,22.6,22.1,6.3,11.3,17.2,16.9,19.9,19.9,14.9,54.3,21.1,24.6,13,26.8,57.9,2.3
