poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,question_id,sample_size,population,population_full,tracking,created_at,url,url_article,url_topline,url_crosstab,source,partisan,race_id,cycle,office_type,seat_number,election_date,stage,nationwide_batch,ranked_choice_reallocated,hypothetical,party,answer,candidate_id,candidate_name,pct
89240,1102,Emerson,2235,RealClearDefense,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel,7,Iowa,2024-11-01,2024-11-02,215767,800,lv,lv,NA,11/2/24 16:54,https://emersoncollegepolling.com/november-2024-iowa-poll-trump-53-harris-43/,https://emersoncollegepolling.com/november-2024-iowa-poll-trump-53-harris-43/,NA,https://docs.google.com/spreadsheets/d/1j2f-3bMfO-YXrWpKf_HdC5eOoPlGXz6W/edit?gid=1221401656#gid=1221401656,NA,NA,8788,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,44.8
89240,1102,Emerson,2235,RealClearDefense,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel,7,Iowa,2024-11-01,2024-11-02,215767,800,lv,lv,NA,11/2/24 16:54,https://emersoncollegepolling.com/november-2024-iowa-poll-trump-53-harris-43/,https://emersoncollegepolling.com/november-2024-iowa-poll-trump-53-harris-43/,NA,https://docs.google.com/spreadsheets/d/1j2f-3bMfO-YXrWpKf_HdC5eOoPlGXz6W/edit?gid=1221401656#gid=1221401656,NA,NA,8788,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,53.9
89251,1102,Emerson,NA,NA,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7,NA,2024-10-30,2024-11-02,215868,1000,lv,lv,NA,11/3/24 09:21,https://emersoncollegepolling.com/november-2024-national-poll-trump-and-harris-remain-locked-in-tight-race/,https://emersoncollegepolling.com/november-2024-national-poll-trump-and-harris-remain-locked-in-tight-race/,NA,https://docs.google.com/spreadsheets/d/1zSMg6ly1Mnj1m9QKd7tmckRkEEPSCjb8/edit?gid=581474264#gid=581474264,NA,NA,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,49.4
89251,1102,Emerson,NA,NA,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel/Text-to-Web,7,NA,2024-10-30,2024-11-02,215868,1000,lv,lv,NA,11/3/24 09:21,https://emersoncollegepolling.com/november-2024-national-poll-trump-and-harris-remain-locked-in-tight-race/,https://emersoncollegepolling.com/november-2024-national-poll-trump-and-harris-remain-locked-in-tight-race/,NA,https://docs.google.com/spreadsheets/d/1zSMg6ly1Mnj1m9QKd7tmckRkEEPSCjb8/edit?gid=581474264#gid=581474264,NA,NA,8914,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,49.2
89162,1102,Emerson,2204,RealClearWorld,Emerson College,88,Emerson College,2.9,-1.1,Online Panel/Text-to-Web,7,Nevada,2024-10-29,2024-10-31,215366,700,lv,lv,NA,11/1/24 09:05,https://emersoncollegepolling.com/october-2024-nevada-poll-harris-48-trump-47/,https://emersoncollegepolling.com/october-2024-nevada-poll-harris-48-trump-47/,NA,https://docs.google.com/spreadsheets/d/165a3jgGb3dnNEVKiMZg2ghrEcQqtp7XY/edit?gid=681822589#gid=681822589,NA,NA,8857,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,48.6
89162,1102,Emerson,2204,RealClearWorld,Emerson College,88,Emerson College,2.9,-1.1,Online Panel/Text-to-Web,7,Nevada,2024-10-29,2024-10-31,215366,700,lv,lv,NA,11/1/24 09:05,https://emersoncollegepolling.com/october-2024-nevada-poll-harris-48-trump-47/,https://emersoncollegepolling.com/october-2024-nevada-poll-harris-48-trump-47/,NA,https://docs.google.com/spreadsheets/d/165a3jgGb3dnNEVKiMZg2ghrEcQqtp7XY/edit?gid=681822589#gid=681822589,NA,NA,8857,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,48.3
89003,1102,Emerson,2204,RealClearWorld,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel,7,Michigan,2024-10-25,2024-10-27,214531,1000,lv,lv,NA,10/29/24 08:54,https://emersoncollegepolling.com/october-2024-michigan-poll-trump-49-harris-48/,https://emersoncollegepolling.com/october-2024-michigan-poll-trump-49-harris-48/,NA,https://docs.google.com/spreadsheets/d/1QxGDC4nSP1dS6N7N1aXBxnXkRPyfw2As/edit?gid=1716322793#gid=1716322793,NA,NA,8820,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,49.3
89003,1102,Emerson,2204,RealClearWorld,Emerson College,88,Emerson College,2.9,-1.1,IVR/Online Panel,7,Michigan,2024-10-25,2024-10-27,214531,1000,lv,lv,NA,10/29/24 08:54,https://emersoncollegepolling.com/october-2024-michigan-poll-trump-49-harris-48/,https://emersoncollegepolling.com/october-2024-michigan-poll-trump-49-harris-48/,NA,https://docs.google.com/spreadsheets/d/1QxGDC4nSP1dS6N7N1aXBxnXkRPyfw2As/edit?gid=1716322793#gid=1716322793,NA,NA,8820,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,49.8
89077,1102,Emerson,43,7News/WHDH,Emerson College,88,Emerson College,2.9,-1.1,Online Panel/Text-to-Web,7,Massachusetts,2024-10-24,2024-10-26,214890,1000,lv,lv,NA,10/30/24 09:31,https://emersoncollegepolling.com/october-2024-massachusetts-poll-harris-59-trump-36/,https://emersoncollegepolling.com/october-2024-massachusetts-poll-harris-59-trump-36/,NA,https://docs.google.com/spreadsheets/d/1ypgZmYJU5eJJa9vMESr-fbUfwBQw7pMr/edit?gid=327688766#gid=327688766,NA,NA,8811,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,DEM,Harris,16661,Kamala Harris,60.2
89077,1102,Emerson,43,7News/WHDH,Emerson College,88,Emerson College,2.9,-1.1,Online Panel/Text-to-Web,7,Massachusetts,2024-10-24,2024-10-26,214890,1000,lv,lv,NA,10/30/24 09:31,https://emersoncollegepolling.com/october-2024-massachusetts-poll-harris-59-trump-36/,https://emersoncollegepolling.com/october-2024-massachusetts-poll-harris-59-trump-36/,NA,https://docs.google.com/spreadsheets/d/1ypgZmYJU5eJJa9vMESr-fbUfwBQw7pMr/edit?gid=327688766#gid=327688766,NA,NA,8811,2024,U.S. President,0,11/5/24,general,FALSE,FALSE,FALSE,REP,Trump,16651,Donald Trump,37.2
