state,democrat_start_date,democrat_end_date,democrat_total_sample_size,democrat_pct,democrat_num_respondents,republican_start_date,republican_end_date,republican_total_sample_size,republican_pct,republican_num_respondents,"Although you are undecided, which candidate do you lean toward? Donald Trump","Although you are undecided, which candidate do you lean toward? Joe Biden","Although you are undecided, which candidate do you lean toward? Kamala Harris",Can you please tell me your gender? Female,Can you please tell me your gender? Male,Can you please tell me your gender? Nonbinary or other,Do you approve or disapprove of the job Joe Biden is doing as President? Approve,Do you approve or disapprove of the job Joe Biden is doing as President? Disapprove,Do you approve or disapprove of the job Joe Biden is doing as President? Neutral or no opinion,"For statistical purposes only, can you please tell me your ethnicity? Asian","For statistical purposes only, can you please tell me your ethnicity? Black or African American","For statistical purposes only, can you please tell me your ethnicity? Hispanic or Latino of any race","For statistical purposes only, can you please tell me your ethnicity? Other or multiple races","For statistical purposes only, can you please tell me your ethnicity? White or Caucasian","How likely are you to vote in the November, 2024 Presidential election? 50-50","How likely are you to vote in the November, 2024 Presidential election? Not likely at all","How likely are you to vote in the November, 2024 Presidential election? Somewhat likely","How likely are you to vote in the November, 2024 Presidential election? Very likely","If the Presidential Election were held today, would you vote for Kamala Harris or Donald Trump? - Selected Choice Donald Trump","If the Presidential Election were held today, would you vote for Kamala Harris or Donald Trump? - Selected Choice Kamala Harris","If the Presidential Election were held today, would you vote for Kamala Harris or Donald Trump? - Selected Choice Undecided",In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Donald Trump,In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Joe Biden,In a hypothetical 2024 Presidential match-up between Joe Biden and Donald Trump who would you vote for at this time? Undecided,"In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Cornel West","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Donald Trump","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Jill Stein","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Joe Biden","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Robert Kennedy","In a hypothetical 2024 Presidential match-up between the following candidates, who would you vote for at this time? Undecided",Mode Landline,Mode Mobile,Mode Online panel,Please select the type of area where you live Rural,Please select the type of area where you live Suburban,Please select the type of area where you live Urban,What is the highest level of education you have attained? Associate Degree/some college,What is the highest level of education you have attained? College graduate,What is the highest level of education you have attained? High school or less,What is the highest level of education you have attained? Postgraduate or higher,What is the highest level of education you have attained? Vocational/technical school,What is your age range? 18-29 years,What is your age range? 30-39 years,What is your age range? 40-49 years,What is your age range? 50-59 years,What is your age range? 60-69 years,What is your age range? 70 or more years,What is your party registration? Democrat,What is your party registration? Independent/other,What is your party registration? Republican,Who did you vote for in the 2020 election? Did not vote,Who did you vote for in the 2020 election? Donald Trump,Who did you vote for in the 2020 election? Joe Biden,Who did you vote for in the 2020 election? Someone else
National,2024-10-23,2024-10-24,1000,49.3,493,2024-10-23,2024-10-24,1000,49.3,493,37.3,62.7,52.34375788721065,51.1,47.2,1.7,42.1,47.3,10.6,4.4,13.4,14.5,2.8,64.8,6.7,2.1,8.2,83,46.90667075779446,49.40961108992388,2.526137150857126,44.7,44.1,11.2,1.4,40.2,1.3,37.9,6.7,12.5,43.1,14.670438066139832,60.2,25.5,48.2,24.9999194893455,26.7,23.6,26.3,14.4,9,16,16,16,17,19,16,36.7,28.2,35.1,11.1,40.9,45.3,2.7
New Hampshire,2024-10-21,2024-10-23,915,50.9,466,2024-10-21,2024-10-23,915,47.2,432,51.8,48.2,47.4,51.8,46.4,1.8,36.6,56,7.5,1.5,12,4.5,1.8,80.2,6.7,2.6,5.8,84.9,46.69999997607766,50.29999973922459,1.0999999917046663,45.1,42.9,12,1.6,41.5,0.9,36.8,7.6,11.6,21.6,5.5,45,22.2,51.5,26.3,25.1,22.1,24.3,18.3,10.3,12.9,15.8,12.9,20.8,19.8,17.8,40.2,18.4,41.3,6.7,45.2,46,2.1
Pennsylvania,2024-10-21,2024-10-22,860,49,421,2024-10-21,2024-10-22,860,50.7,436,52.3,47.7,47.4,52.1,47.2,0.7,37.4,53.7,9,2.2,2.6,18.7,5.3,71.2,6.7,2.6,5.8,84.9,50.44955045035123,47.252747253387795,0.9990009982695792,45.6,42.5,11.9,1.1,42.6,1.3,37.1,7.5,10.3,33.5,11.1,49.2,22.2,51.5,26.3,31,23.8,24.1,11.7,9.3,16,13,14,18,19,20,30,35.8,34.2,10,43.2,43.6,3.1
North Carolina,2024-10-21,2024-10-22,950,48.2,458,2024-10-21,2024-10-22,950,50.2,477,52.3,47.7,47.49812359254599,53.7,44.6,1.7,38.8,50.4,10.8,1.7,28.9,7.1,1.4,60.9,6.7,2.6,5.8,84.9,50.44955045035123,47.252747253387795,0.9990009982695792,47.9,41.6,10.5,1.4,45,0.7,36.2,5.9,10.9,28.5,5.5,49.2,22.2,51.5,26.3,29.3,25.8,21.8,14.2,8.9,20.1,16.8,17.8,17.8,14.8,12.8,30,35.8,34.2,7.4,44.9,45.3,2.4
Wisconsin,2024-10-21,2024-10-22,800,49.2,394,2024-10-21,2024-10-22,800,49.9,399,50.3,49.7,47.4,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,6.7,2.6,5.8,84.9,50.44955045035123,47.252747253387795,0.9990009982695792,46,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13,35.2,7.6,41,22.2,51.5,26.3,32.8,20.8,24,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32,39,29,11,42.3,44.7,2
South Dakota,2024-10-19,2024-10-22,825,36.5,301,2024-10-19,2024-10-22,825,62,512,50.3,49.7,36.487378602012186,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,6.7,2.6,5.8,84.9,61.638361638547025,34.66533466538164,2.1978021976884925,46,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13,35.2,7.6,41.88296711916328,22.2,51.5,26.3,32.8,20.8,24,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32,39,29,11,42.3,44.7,2
Maryland,2024-10-19,2024-10-21,865,64,554,2024-10-19,2024-10-21,865,34.4,298,52.33408811742759,47.66591188257212,65.27506145520002,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,6.7,2.6,5.8,84.9,31.869674181729636,63.114526540911065,3.611672043683836,46,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13,35.2,7.6,41.88296711916328,22.2,51.5,26.3,32.8,20.8,24,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32,39,29,11,42.3,44.7,2
Texas,2024-10-18,2024-10-21,815,45.9,374,2024-10-18,2024-10-21,815,53.1,433,51.3,48.7,47.4,51.9,47.3,0.8,32.5,53.9,13.6,5.3,7.1,17.4,5.1,65.2,3.6,2.4,5.9,88.1,50.86180364524273,45.589784340660074,2.5162977620804416,43.9,41.2,14.9,2,41,1.1,36,8.8,11.1,41.4022468431691,23.1818676118133,41,22.2,53.8,24,31.6,20.9,24.2,13,10.3,14.1,17.2,14.1,16.2,18.2,20.2,32,39,29,9.4,42,44.4,4.1
Florida,2024-10-18,2024-10-20,860,45.9,395,2024-10-18,2024-10-20,860,53.6,461,51.3,48.7,47.4,52.1,47.3,0.6,33.9,54.5,11.6,5.3,7.1,17.4,5.1,65.2,6.7,2.6,5.8,84.9,50.44955045035123,47.252747253387795,0.9990009982695792,46,40.2,13.8,1.1,44.3,1.2,34.3,6.2,13,35.2,7.6,41,22.2,51.5,26.3,32.8,20.8,24,12.9,9.6,14.1,17.2,14.1,16.2,18.2,20.2,32,39,29,11,42.3,44.7,2
California,2024-10-12,2024-10-14,1000,61,610,2024-10-12,2024-10-14,1000,36.6,366,52.6,NA,47.4,51.9,47.2,0.9,35,56.8,8.3,2.2,2.6,18.7,5.3,71.2,3.6,2.4,5.9,88.1,34.862199761855614,59.089915097073046,3.6928505791075295,NA,NA,NA,0.6,47.5,0.5,NA,NA,5.8,20.6,38.4,41,22.2,53.8,24,31,23.8,24.1,11.7,9.3,16,13,14,18,19,20,30,35.8,34.2,7.6,44.5,44.9,3
