state,start_date,end_date,party,pct,Do you approve or disapprove of the job Joe Biden is doing as President? Approve
NA,10/23/24,10/24/24,DEM,49.3,40.80000180077081
NA,10/23/24,10/24/24,REP,49.3,40.80000180077081
New Hampshire,10/21/24,10/23/24,DEM,50.9,38.91015901998196
New Hampshire,10/21/24,10/23/24,REP,47.2,38.91015901998196
Pennsylvania,10/21/24,10/22/24,DEM,49,36.982658896932804
Pennsylvania,10/21/24,10/22/24,REP,50.7,36.982658896932804
North Carolina,10/21/24,10/22/24,DEM,48.2,37.89114580756437
North Carolina,10/21/24,10/22/24,REP,50.2,37.89114580756437
Wisconsin,10/21/24,10/22/24,DEM,49.2,37.89114580756437
Wisconsin,10/21/24,10/22/24,REP,49.9,37.89114580756437
South Dakota,10/19/24,10/22/24,DEM,36.5,27.68549674466378
South Dakota,10/19/24,10/22/24,REP,62,27.68549674466378
Maryland,10/19/24,10/21/24,DEM,64,50.015116530328875
Maryland,10/19/24,10/21/24,REP,34.4,50.015116530328875
Texas,10/18/24,10/21/24,DEM,45.9,33.05269143260666
Texas,10/18/24,10/21/24,REP,53.1,33.05269143260666
Florida,10/18/24,10/20/24,DEM,45.9,35.94381493451192
Florida,10/18/24,10/20/24,REP,53.6,35.94381493451192
NA,10/14/24,10/16/24,DEM,49.5,41.5133330352428
NA,10/14/24,10/16/24,REP,49.2,41.5133330352428
California,10/12/24,10/14/24,DEM,61,45.549820455129414
California,10/12/24,10/14/24,REP,36.6,45.549820455129414
Arizona,10/5/24,10/8/24,DEM,48.2,36.05892637862208
Arizona,10/5/24,10/8/24,REP,50.5,36.05892637862208
Georgia,10/5/24,10/8/24,DEM,49.8,36.05892637862208
Georgia,10/5/24,10/8/24,REP,49.7,36.05892637862208
Michigan,10/5/24,10/8/24,DEM,49.7,36.05892637862208
Michigan,10/5/24,10/8/24,REP,49.6,36.05892637862208
Nevada,10/5/24,10/8/24,DEM,49.2,36.05892637862208
Nevada,10/5/24,10/8/24,REP,48.1,36.05892637862208
North Carolina,10/5/24,10/8/24,DEM,49,36.05892637862208
North Carolina,10/5/24,10/8/24,REP,49.9,36.05892637862208
Pennsylvania,10/5/24,10/8/24,DEM,49,36.05892637862208
Pennsylvania,10/5/24,10/8/24,REP,49.7,36.05892637862208
Wisconsin,10/5/24,10/8/24,DEM,49.2,36.05892637862208
Wisconsin,10/5/24,10/8/24,REP,49.9,36.05892637862208
NA,9/29/24,10/1/24,DEM,50.2,39.908282368432914
NA,9/29/24,10/1/24,REP,48.6,39.908282368432914
Arizona,9/27/24,9/28/24,DEM,47.6,37.45076187033789
Arizona,9/27/24,9/28/24,REP,51.7,37.45076187033789
North Carolina,9/27/24,9/28/24,DEM,49.1,37.45076187033789
North Carolina,9/27/24,9/28/24,REP,49.9,37.45076187033789
Pennsylvania,9/27/24,9/28/24,DEM,49.3,38.017638734107095
Pennsylvania,9/27/24,9/28/24,REP,48.8,38.017638734107095
New York,9/23/24,9/25/24,DEM,55.5,43.25992469752598
New York,9/23/24,9/25/24,REP,41.6,43.25992469752598
Texas,9/22/24,9/24/24,DEM,46.7,34.79252097572407
Texas,9/22/24,9/24/24,REP,52.3,34.79252097572407
Virginia,9/22/24,9/24/24,DEM,52.7,39.81961741168687
Virginia,9/22/24,9/24/24,REP,46.2,39.81961741168687
